,total_match_number,subject_id,agent_id,original_elo_rating,updated_elo_rating,win_draw_loss,subject_ranking,agent_ranking,pairing_index,date,match,left_number_of_spots,right_number_of_spots,winner,loser,spot_number_difference,percent_difference,match_is_tie,notes,sheet_name,session_number_difference,cage_#,tuple_animal_id,strain,experiment_type
9,5,5.3,5.2,999.7,989.7,0.0,4,2,1,2022-09-16,2vs3,123.0,28.0,5.2,5.3,,,False,3 hours,CAGE5,1.0,5,"('5.2', '5.3')",CD1,urine_marking
10,6,5.4,5.1,1010.3,1019.7,1.0,1,4,0,2022-09-16,1vs4,13.0,326.0,5.4,5.1,,,False,3 hours,CAGE5,0.0,5,"('5.1', '5.4')",CD1,urine_marking
11,6,5.1,5.4,990.3,980.9,0.0,4,1,1,2022-09-16,1vs4,13.0,326.0,5.4,5.1,,,False,3 hours,CAGE5,0.0,5,"('5.1', '5.4')",CD1,urine_marking
0,1,6.1,6.2,1000.0,1000.0,0.5,1,2,0,2022-09-12,1vs2,4.0,3.0,6.1,6.2,,,True,3 hours,CAGE6,,6,"('6.1', '6.2')",CD1,urine_marking
1,1,6.2,6.1,1000.0,1000.0,0.5,2,1,1,2022-09-12,1vs2,4.0,3.0,6.1,6.2,,,True,3 hours,CAGE6,,6,"('6.1', '6.2')",CD1,urine_marking
2,2,6.3,6.4,1000.0,1010.0,1.0,1,4,0,2022-09-12,3vs4,57.0,22.0,6.3,6.4,,,False,3 hours,CAGE6,0.0,6,"('6.3', '6.4')",CD1,urine_marking
3,2,6.4,6.3,1000.0,990.0,0.0,4,1,1,2022-09-12,3vs4,57.0,22.0,6.3,6.4,,,False,3 hours,CAGE6,0.0,6,"('6.3', '6.4')",CD1,urine_marking
4,3,6.3,6.1,1010.0,1019.7,1.0,1,3,0,2022-09-13,1vs3,2.0,31.0,6.3,6.1,,,False,3 hours,CAGE6,1.0,6,"('6.1', '6.3')",CD1,urine_marking
5,3,6.1,6.3,1000.0,990.3,0.0,3,1,1,2022-09-13,1vs3,2.0,31.0,6.3,6.1,,,False,3 hours,CAGE6,1.0,6,"('6.1', '6.3')",CD1,urine_marking
6,4,6.4,6.2,990.0,1000.3,1.0,2,4,0,2022-09-13,2vs4,5.0,10.0,6.4,6.2,,,False,3 hours,CAGE6,0.0,6,"('6.2', '6.4')",CD1,urine_marking
7,4,6.2,6.4,1000.0,989.7,0.0,4,2,1,2022-09-13,2vs4,5.0,10.0,6.4,6.2,,,False,3 hours,CAGE6,0.0,6,"('6.2', '6.4')",CD1,urine_marking
8,5,6.4,6.1,1000.3,1010.0,1.0,2,4,0,2022-09-16,1vs4,1.0,26.0,6.4,6.1,,,False,3 hours,CAGE6,1.0,6,"('6.1', '6.4')",CD1,urine_marking
9,5,6.1,6.4,990.3,980.6,0.0,4,2,1,2022-09-16,1vs4,1.0,26.0,6.4,6.1,,,False,3 hours,CAGE6,1.0,6,"('6.1', '6.4')",CD1,urine_marking
10,6,6.3,6.2,1019.7,1028.8,1.0,1,4,0,2022-09-16,2vs3,21.0,83.0,6.3,6.2,,,False,3 hours,CAGE6,0.0,6,"('6.2', '6.3')",CD1,urine_marking
11,6,6.2,6.3,989.7,980.6,0.0,4,1,1,2022-09-16,2vs3,21.0,83.0,6.3,6.2,,,False,3 hours,CAGE6,0.0,6,"('6.2', '6.3')",CD1,urine_marking
